Code,Name,Product Group,Stock Unit,Part Number,DD Code,DMI Code,Schein Code,Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,DMI IE Notes,DMI UK Notes,DentalSky Notes,Dontalia Notes,Henry Schein Notes,DMI IE Product,DMI UK Product,DentalSky Product,Dontalia Product,Henry Schein Product,DMI IE Pack Flag,DMI UK Pack Flag,DentalSky Pack Flag,Dontalia Pack Flag,Henry Schein Pack Flag,DMI IE Adjusted Variance,DMI UK Adjusted Variance,DentalSky Adjusted Variance,Dontalia Adjusted Variance,Henry Schein Adjusted Variance
MED030,#Colgate Duraphat 2800 ppm Fluoride Toothpaste 6x75ml -Pack6,MEDICINES,Pack (6),CG211218,PBC310,,636026,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED041,#Colgate Duraphat 5000 ppm Fluoride Toothpaste - Each,MEDICINES,Each,CG260822,PBC320,COLG-850248A,1079519,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Duraphat 5000 Toothpaste Pack 12 X 51G,Duraphat 5000 Toothpaste Pack 12 X 51G,,,,MISMATCH (ours:1 theirs:12),MISMATCH (ours:1 theirs:12),,,,N/A,N/A,,,
MED023,#Colgate Duraphat Varnish 10ml (FDE74600) - Each,MEDICINES,Each,CG74600,PFV010,,4535,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
AAA345,"#Dentsply Anestadent 4% 1:100,000 Solution 2.2ml (546) -Bx50",MEDICINES,Box (50),546,AAA345,,1196060,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Colgate Max White Toothbrush 12 Pack,Colgate Max White Toothbrush 12 Pack,,,,MISMATCH (ours:50 theirs:12),MISMATCH (ours:50 theirs:12),,,,N/A,N/A,,,
MED059,#Dentsply Citanest 3% Standard 2.2ml - Box50,MEDICINES,Box (50),585,AAA320,,1181147,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,UnoDent Jumbo Alcohol Surface Disinfectant Wipes (Refill Pk 200),UnoDent Jumbo Alcohol Surface Disinfectant Wipes (Refill Pk 200),,,,MISMATCH (ours:50 theirs:200),MISMATCH (ours:50 theirs:200),,,,N/A,N/A,,,
MED050,#Dentsply Oraqix Gel (66312020UK) - Box20,MEDICINES,Box (20),66312020UK,ACD500,DENT-66312020UK,1124841,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED060,#Dentsply Xylocaine 2% Standard 2.2ml - Box50,MEDICINES,Box (50),502,AAA335,DENT-702,1181146,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,3M Ketac Fil Plus Aplicap - 50 Pack  A1,3M Ketac Fil Plus Aplicap - 50 Pack  A1,,,,MATCH,MATCH,,,,,,,,
EMED003,#Eire Septodont Lignospan 2% Special 2.2ml - Box50,MEDICINES,Box (50),LIGNO02S,,SEPT-5017C,09051,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
EMED004,#Eire Septodont Scandonest 3% Plain 2.2ml - Box50,MEDICINES,Box (50),SCAND04S,,SEPT-5016B,09201,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
EMED018,"#Eire Septodont Septanest 1:100,000 2.2ml - Box50",MEDICINES,Box (50),11825O,,SEPT-11825O,09205,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
EMED002,#Eire Septodont Xylonor Gel 15g - Each,MEDICINES,Each,XYLON03S / 6,,SEPT-11162A,09406,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED034,#GSK Corsodyl Gel 10x50g (60000000013832) - Pack10,MEDICINES,Pack (10),60000000013832,PFG450,,1111394,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED035,#GSK Corsodyl Mouthwash Mint 6x300ml (60000000108780) - Box6,MEDICINES,Box (6),60000000108780,PDM021,,637010,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED031,#GSK Corsodyl Mouthwash Original 6x300ml Alcohol Free,MEDICINES,Pack (6),60000000116103,PDM015,,63701 x 6,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
AGS118,#Hospira Bacteriostatic 0.9% Sodium Chloride Vial 30ml,MEDICINES,Pack (25),AGS118,AGS118,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED061,#Hospira Bacteriostatic 0.9% Sodium Chloride Vial 30ml,MEDICINES,Each,120080,120080,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED045,#Ledermix Dental Paste No.2 5g - Each,MEDICINES,Each,OW110428,LLD012,OZD-009698,1187205,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED048D,#Ledermix Liquid Drpper,MEDICINES,Each,OW110618,LLD011,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED005,#Septodont Lignospan 2% Special 1.8ml - Box50,MEDICINES,Box (50),LIGNO01A,AAD425,,09052,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED008,#Septodont Lignospan 2% Special 2.2ml - Box50,MEDICINES,Box (50),LIGNO02A,AAD430,SEPT-5017C,09051,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED009,#Septodont Scandonest 3% Plain 2.2ml - Box50,MEDICINES,Box (50),SCAND04,AAD420,SEPT-5016B,09201,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED010,"#Septodont Septanest 1:100,000 2.2ml - Box50",MEDICINES,Box (50),SEPTA01,AAD440,SEPT-11825O,09205,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED011,"#Septodont Septanest 1:200,000 2.2ml - Box50",MEDICINES,Box (50),SEPTA02,AAD445,,09209,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED006,#Septodont Xylonor Gel 15g - Each,MEDICINES,Each,XYLON01,ACD435,SEPT-11162A,09406,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
MED007,#Septodont Xylonor Spray 36g - Each,MEDICINES,Each,XYLON04,ACD440,,09402,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
AGS116,#Tor-Bac Bacteriostatic 0.9% Sodium Chloride Solution 5ml,MEDICINES,Pack (10),,AGS116,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,,,,,,,,,,,,,,,
