Our Code,Our Name,Site,Competitor URL,Competitor Product Name,Match Score,Manual Override
670231,Clinisept+ Skin 490ml - Each,dmi_ie,https://www.dmi.ie/products/clinisept-skin-490ml-clin-cp-skin-490.html,Clinisept+ Skin 490ml,1.00,
670231,Clinisept+ Skin 490ml - Each,dmi_uk,https://www.dmi.co.uk/products/clinisept-skin-490ml-clin-cp-skin-490.html,Clinisept+ Skin 490ml,1.00,
AA034,Septodont Septoject Needles 30g Short - Box100,dmi_ie,https://www.dmi.ie/products/needles-septoject-evolution-30g-u-short-9mm-purple-5752i-sept-12428r.html,Septodont Needles Septoject Evolution 30g U-Short 9mm Purple (100),0.71,
AA034,Septodont Septoject Needles 30g Short - Box100,dmi_uk,https://www.dmi.co.uk/products/needles-septoject-evolution-30g-u-short-9mm-purple-5752i-sept-12428r.html,Septodont Needles Septoject Evolution 30g U-Short 9mm Purple (100),0.71,
AA105,BD Venflon Peripheral IV Catheter w/ Port Blue 22Gx25mm-Each,dmi_ie,https://www.dmi.ie/products/bd-venflon-infusion-cannula-50pk-22g-25mm-bd-391451.html,Bd Venflon Perpheral Cannula 22G 25mm Blue x 50 IV Catheter Ported Winged  Pack 50,0.65,
CAW596,UnoDent Surface Disinfectant Wipes Alcohol-free Apple Tub,dmi_ie,https://www.dmi.ie/products/unodent-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-uno-caw597.html,Unodent Surface Disinfectant Wipes - Alcohol-free Refill Pack - Apple,1.00,
CAW596,UnoDent Surface Disinfectant Wipes Alcohol-free Apple Tub,dmi_uk,https://www.dmi.co.uk/products/unodent-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-uno-caw597.html,Unodent Surface Disinfectant Wipes - Alcohol-free Refill Pack - Apple,1.00,
CAW597,UnoDent Surface Disinfectant Wipes Alcohol-free Refill Pack,dmi_ie,https://www.dmi.ie/products/unodent-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-uno-caw597.html,Unodent Surface Disinfectant Wipes - Alcohol-free Refill Pack - Apple,1.00,
CAW597,UnoDent Surface Disinfectant Wipes Alcohol-free Refill Pack,dmi_uk,https://www.dmi.co.uk/products/unodent-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-uno-caw597.html,Unodent Surface Disinfectant Wipes - Alcohol-free Refill Pack - Apple,1.00,
ELU666,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm,dmi_ie,https://www.dmi.ie/products/unotaper-rotary-file-sterile-pack-6-assorted-sx-f3-25mm-uno-elu666.html,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm - Pack of 6,1.00,
ELU666,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm,dmi_uk,https://www.dmi.co.uk/products/unotaper-rotary-file-sterile-pack-6-assorted-sx-f3-25mm-uno-elu666.html,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm - Pack of 6,1.00,
FPM118,Perfection Plus Prophy Paste Mint Coarse 250g (PP010/0046),dmi_ie,https://www.dmi.ie/products/perfection-plus-prophy-paste-tub-250g-course-mint-perf-0100046.html,Perfection Plus Prophy Paste 250G Coarse Mint,0.86,
FPM118,Perfection Plus Prophy Paste Mint Coarse 250g (PP010/0046),dmi_uk,https://www.dmi.co.uk/products/perfection-plus-prophy-paste-tub-250g-course-mint-perf-0100046.html,Perfection Plus Prophy Paste 250G Coarse Mint,0.86,
FPM361,Perfection Plus Prophy Paste Mint Medium 250g (PP010/0001),dmi_ie,https://www.dmi.ie/products/perfection-plus-prophy-paste-tub-250g-medium-mint-perf-0100001.html,Perfection Plus Prophy Paste Medium Mint 250g,0.86,
FPM361,Perfection Plus Prophy Paste Mint Medium 250g (PP010/0001),dmi_uk,https://www.dmi.co.uk/products/perfection-plus-prophy-paste-tub-250g-medium-mint-perf-0100001.html,Perfection Plus Prophy Paste Medium Mint 250g,0.86,
