Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,DMI IE Notes,DMI UK Notes,DentalSky Notes,Dontalia Notes,Henry Schein Notes
400060,Six Month Smiles Lucid-Lok Lo Universal 1/2 Bracket - Each,Six Month Smiles,20311,Orthodontics and Accessories,Each,£4.06,£7.03,€8.15,42.2%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
400063,Six Month Smiles Lucid-Lok Universal 4/5 Bracket w/Hook,Six Month Smiles,20321,Orthodontics and Accessories,Each,£3.95,£7.03,€8.15,43.8%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
670231,Clinisept+ Skin 490ml - Each,Clinisept,CP-SKIN-490,Facial Aesthetics,Each,£4.39,£10.27,€11.91,57.3%,€15.03,-20.8%,https://www.dmi.ie/products/clinisept-skin-490ml-clin-cp-skin-490.html,N/A,N/A,,N/A,,,£12.32,-16.6%,https://www.dmi.co.uk/products/clinisept-skin-490ml-clin-cp-skin-490.html,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
AA009,Septodont Septoject XL Needles 27g Long 0.4x35mm - Box100,Septodont,XLJECT02,ANAESTHETIC ACCESSORIES,Box (100),£8.66,£16.24,€18.84,46.7%,€21.22,-11.2%,https://www.dmi.ie/products/septodont-septoject-xl-needle-27g-100pk-long-35mm-yellow-sept-xlject02.html?_gl=1*2g5225*_up*MQ..*_ga*ODY0NzU4NTczLjE3NDQ3MjgyMDY.*_ga_0T1NKWVSZ2*MTc0NDcyODIwNS4xLjAuMTc0NDcyODIwNS4wLjAuMA..,£13.80,17.7%,,€17.00,,https://www.dontalia.com/septojectr-needles-xl.html,£17.77,,https://www.dmi.co.uk/products/septodont-septoject-xl-needle-27g-100pk-long-35mm-yellow-sept-xlject02.html?_gl=1*2g5225*_up*MQ..*_ga*ODY0NzU4NTczLjE3NDQ3MjgyMDY.*_ga_0T1NKWVSZ2*MTc0NDcyODIwNS4xLjAuMTc0NDcyODIwNS4wLjAuMA..,N/A,,,,,,,Not listed on competitor
AA011,Septodont Septoject XL Needles 30g Short 0.3x25mm - Box100,Septodont,XLJECT03,ANAESTHETIC ACCESSORIES,Box (100),£8.52,£16.24,€18.84,47.5%,€21.22,-11.2%,,£13.80,17.7%,,€17.00,,https://www.dontalia.com/septojectr-needles-xl.html,£17.77,,https://www.dmi.co.uk/products/needles-septoject-xl-30g-short-25mm-0-30-para-apical-blue-10332o-sept-11655a.html?name=Septodont+Septoject+XL+Needles+30g+Short&type=simple&_gl=1*1wvf33m*_up*MQ..*_ga*NDg0MTE3MTgyLjE3NDQ3Mjk2MDk.*_ga_0T1NKWVSZ2*MTc0NDcyOTYwOS4xLjEuMTc0NDczMTI2MS4wLjAuMA..,N/A,,,,,,,Not listed on competitor
AA021,J&S Davis Solo Dental Needle 30g Short 0.3x23mm - Box100,J&S Davis,SOL1056,ANAESTHETIC ACCESSORIES,Box (100),£8.34,£13.50,€15.66,38.2%,€21.62,-27.6%,https://www.dmi.ie/products/solo-supra-needles-100pk-30g-short-davi-sol1046.html?name=J&S%20Davis&type=simple&_gl=1*15elusx*_up*MQ..*_ga*MzI4NzQ0ODA0LjE3NDQxMTg5MTU.*_ga_0T1NKWVSZ2*MTc0NDExODkxNS4xLjEuMTc0NDExOTIwNi4wLjAuMA..,£13.80,-2.2%,https://www.dentalsky.com/solo-supra-needles-30g-short-100.html,N/A,,,£18.10,,https://www.dmi.co.uk/products/solo-supra-needles-100pk-30g-short-davi-sol1046.html?name=J&S%20Davis&type=simple&_gl=1*15elusx*_up*MQ..*_ga*MzI4NzQ0ODA0LjE3NDQxMTg5MTU.*_ga_0T1NKWVSZ2*MTc0NDExODkxNS4xLjEuMTc0NDExOTIwNi4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
AA032,Septodont Septoject Needles 27g Long - Box100,Septodont,SEPTO01,ANAESTHETIC ACCESSORIES,Box (100),£7.54,£13.72,€15.92,45.0%,€16.24,-2.0%,,£10.55,30.0%,,€8.76,,https://www.dontalia.com/septojectr-needles.html,£13.60,,https://www.dmi.co.uk/products/septodont-septoject-original-needles-100pk-long-27g-x-35mm-sept-septo01.html?_gl=1*18wdr5a*_up*MQ..*_ga*NDg0MTE3MTgyLjE3NDQ3Mjk2MDk.*_ga_0T1NKWVSZ2*MTc0NDcyOTYwOS4xLjEuMTc0NDczMTM1OS4wLjAuMA..,N/A,,,,,,,Not listed on competitor
AA034,Septodont Septoject Needles 30g Short - Box100,Septodont,SEPTO03,ANAESTHETIC ACCESSORIES,Box (100),£6.86,£12.19,€14.14,43.7%,€27.39,-48.4%,https://www.dmi.ie/products/needles-septoject-xl-30g-short-25mm-0-30-para-apical-blue-10332o-sept-11655a.html,£10.55,15.5%,,€8.76,,https://www.dontalia.com/septojectr-needles.html,£22.18,-45.0%,https://www.dmi.co.uk/products/needles-septoject-xl-30g-short-25mm-0-30-para-apical-blue-10332o-sept-11655a.html,N/A,,,,,,,Not listed on competitor
AA097,UnoDent Sterile Dental Needle 30GS 0.3 x 21mm (ANU030),UnoDent,ANU030,ANAESTHETIC ACCESSORIES,Box (100),£2.79,£5.57,€6.46,49.9%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
AA105,BD Venflon Peripheral IV Catheter w/ Port Blue 22Gx25mm-Each,BD,BV391451,ANAESTHETIC ACCESSORIES,Each,£0.90,£2.01,€2.33,55.2%,€117.26,-98.0%,https://www.dmi.ie/products/bd-venflon-infusion-cannula-50pk-22g-25mm-bd-391451.html,£1.65,21.8%,https://www.dentalsky.com/bd-venflon-peripheral-iv-catheter-ported-22g-25mm-winged-blue.html,N/A,,,N/A,,,N/A,,,,Not listed on competitor,,Not listed on competitor,Not listed on competitor
