Our Code,Our Name,Site,Competitor URL,Competitor Product Name,Match Score,Manual Override
670231,Clinisept+ Skin 490ml - Each,dmi_ie,https://www.dmi.ie/products/clinisept-skin-490ml-clin-cp-skin-490.html,Clinisept+ Skin 490ml,1.00,
670231,Clinisept+ Skin 490ml - Each,dmi_uk,https://www.dmi.co.uk/products/clinisept-skin-490ml-clin-cp-skin-490.html,Clinisept+ Skin 490ml,1.00,
AA034,Septodont Septoject Needles 30g Short - Box100,dmi_ie,https://www.dmi.ie/products/needles-septoject-evolution-30g-u-short-9mm-purple-5752i-sept-12428r.html,Septodont Needles Septoject Evolution 30g U-Short 9mm Purple (100),0.71,
AA034,Septodont Septoject Needles 30g Short - Box100,dmi_uk,https://www.dmi.co.uk/products/needles-septoject-evolution-30g-u-short-9mm-purple-5752i-sept-12428r.html,Septodont Needles Septoject Evolution 30g U-Short 9mm Purple (100),0.71,
AA105,BD Venflon Peripheral IV Catheter w/ Port Blue 22Gx25mm-Each,dmi_ie,https://www.dmi.ie/products/bd-venflon-infusion-cannula-50pk-22g-25mm-bd-391451.html,Bd Venflon Perpheral Cannula 22G 25mm Blue x 50 IV Catheter Ported Winged  Pack 50,0.65,
ABG008A,Perfection Plus Bib Roll Paper-Plastic Blue PP002/0020 - 80,dmi_ie,https://www.dmi.ie/products/perfection-plus-bib-roll-paper-plastic-80pk-blue-perf-0020020.html,Perfection Plus Bib roll Paper/Plastic - 80 Pack  Blue,0.86,
ABG008A,Perfection Plus Bib Roll Paper-Plastic Blue PP002/0020 - 80,dmi_uk,https://www.dmi.co.uk/products/perfection-plus-bib-roll-paper-plastic-80pk-blue-perf-0020020.html,Perfection Plus Bib roll Paper/Plastic - 80 Pack  Blue,0.86,
ABG214,Perfection Plus Serviette Bibs Dark Blue (PP002/0076) - 500,dentalsky,https://www.dentalsky.com/perfection-plus-3-ply-patient-serviette-bibs-blue-500.html,Perfection Plus 3 Ply Patient Serviette Bibs - Blue (500),0.71,
ABG214,Perfection Plus Serviette Bibs Dark Blue (PP002/0076) - 500,dmi_ie,https://www.dmi.ie/products/perfection-plus-3-ply-serviette-bibs-500pk-dark-blue-perf-0020076.html,Perfection Plus Serviette Bibs 2 Ply Dark Blue x 500,0.86,
ABG214,Perfection Plus Serviette Bibs Dark Blue (PP002/0076) - 500,dmi_uk,https://www.dmi.co.uk/products/perfection-plus-3-ply-serviette-bibs-500pk-dark-blue-perf-0020076.html,Perfection Plus Serviette Bibs 2 Ply Dark Blue x 500,0.86,
